CNIC,FirstName,LastName,PhoneNumber,Email,Address,DateRegistered,EmploymentStatus,MonthlyIncome,CreditScore,LoanTypeName,RequestedAmount,ApplicationDate,ApprovedAmount,InterestRate,LoanDurationMonths,CollateralAssetType,CollateralEstimatedValue,LoanStartDate,LoanEndDate,InstallmentNumber,DueDate,ScheduledInstallmentAmount,PaymentDate,PaymentAmount,PaymentMethod,IsRescheduled,LatePaymentFine,ReasonForDefault
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,1,2021-08-14,23213.42,2021-08-23,23213.42,Online Transfer,Yes,5000,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,2,2021-09-13,23213.42,2021-09-08,23213.42,Online Transfer,Yes,0,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,3,2021-10-13,23213.42,2021-10-17,23213.42,Cheque,Yes,5000,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,4,2021-11-12,23213.42,2021-11-21,23213.42,Cash,Yes,5000,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,5,2021-12-12,23213.42,2021-12-13,23213.42,Cheque,Yes,5000,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,6,2022-01-11,23213.42,2022-01-10,23213.42,Online Transfer,Yes,0,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,7,2022-02-10,23213.42,2022-02-14,23213.42,Online Transfer,Yes,5000,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,8,2022-03-12,23213.42,2022-03-13,23213.42,Cash,Yes,5000,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,9,2022-04-11,23213.42,2022-04-08,23213.42,Cheque,Yes,0,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,10,2022-05-11,23213.42,2022-05-07,23213.42,Cash,Yes,0,None
33263-3387450-3,Amina,Khan,0307-2662244,amina.khan8347@gmail.com,"House 488, Phase 2, Quetta",2021-06-10,Self-Employed,275331,407,Home,1582733,2021-07-03,1266186.4,10.0,60,Vehicle,1770293.6,2021-07-15,2026-06-19,11,2022-06-10,23213.42,2022-06-15,23213.42,Cheque,Yes,5000,None
31483-3342110-5,Omar,Abbas,0347-8840089,omar.abbas6366@gmail.com,"House 205, Phase 1, Peshawar",2022-11-30,Self-Employed,493223,456,Business,2273365,2022-12-12,1818692.0,18.0,48,Gold,2091607.28,2022-12-18,2026-11-27,1,2023-01-17,44709.51,2023-01-20,44709.51,Online Transfer,No,5000,None
31483-3342110-5,Omar,Abbas,0347-8840089,omar.abbas6366@gmail.com,"House 205, Phase 1, Peshawar",2022-11-30,Self-Employed,493223,456,Business,2273365,2022-12-12,1818692.0,18.0,48,Gold,2091607.28,2022-12-18,2026-11-27,2,2023-02-16,44709.51,2023-02-21,44709.51,Cheque,No,5000,None
31483-3342110-5,Omar,Abbas,0347-8840089,omar.abbas6366@gmail.com,"House 205, Phase 1, Peshawar",2022-11-30,Self-Employed,493223,456,Business,2273365,2022-12-12,1818692.0,18.0,48,Gold,2091607.28,2022-12-18,2026-11-27,3,2023-03-18,44709.51,2023-03-17,44709.51,Cheque,No,0,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,1,2021-02-16,72369.1,2021-02-12,72369.1,Cheque,No,0,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,2,2021-03-18,72369.1,2021-03-25,72369.1,Cheque,No,5000,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,3,2021-04-17,72369.1,2021-04-16,72369.1,Cheque,No,0,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,4,2021-05-17,72369.1,2021-05-19,72369.1,Online Transfer,No,5000,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,5,2021-06-16,72369.1,2021-06-20,72369.1,Online Transfer,No,5000,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,6,2021-07-16,72369.1,2021-07-22,72369.1,Cash,No,5000,None
32643-4423219-8,Sana,Syed,0313-2539423,sana.syed8900@gmail.com,"House 617, Phase 1, Quetta",2021-01-02,Business Owner,362602,465,Education,3015379,2021-01-12,2412303.2,8.0,36,Vehicle,2823763.15,2021-01-17,2024-01-02,7,2021-08-15,72369.1,2021-08-16,72369.1,Cash,No,5000,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,1,2022-06-16,52139.64,2022-06-14,52139.64,Online Transfer,No,0,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,2,2022-07-16,52139.64,2022-07-17,52139.64,Cheque,No,5000,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,3,2022-08-15,52139.64,2022-08-13,52139.64,Cash,No,0,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,4,2022-09-14,52139.64,2022-09-23,52139.64,Cheque,No,5000,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,5,2022-10-14,52139.64,2022-10-22,52139.64,Online Transfer,No,5000,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,6,2022-11-13,52139.64,2022-11-23,52139.64,Online Transfer,No,5000,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,7,2022-12-13,52139.64,2022-12-09,52139.64,Cash,No,0,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,8,2023-01-12,52139.64,2023-01-12,52139.64,Online Transfer,No,0,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,9,2023-02-11,52139.64,2023-02-10,52139.64,Cheque,No,0,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,10,2023-03-13,52139.64,2023-03-11,52139.64,Cheque,No,0,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,11,2023-04-12,52139.64,2023-04-19,52139.64,Cash,No,5000,None
34046-4510418-6,Ahmed,Malik,0327-3859755,ahmed.malik2997@gmail.com,"House 763, Phase 1, Islamabad",2022-04-17,Business Owner,231447,452,Personal,2720329,2022-05-05,2176263.2,15.0,48,Vehicle,2831409.15,2022-05-17,2026-04-26,12,2023-05-12,52139.64,2023-05-13,52139.64,Cheque,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,1,2022-05-23,28879.34,2022-05-26,28879.34,Online Transfer,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,2,2022-06-22,28879.34,2022-06-30,28879.34,Cash,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,3,2022-07-22,28879.34,2022-07-29,28879.34,Cash,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,4,2022-08-21,28879.34,2022-08-20,28879.34,Cash,No,0,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,5,2022-09-20,28879.34,2022-09-26,28879.34,Cheque,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,6,2022-10-20,28879.34,2022-10-23,28879.34,Cash,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,7,2022-11-19,28879.34,2022-11-26,28879.34,Cash,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,8,2022-12-19,28879.34,2022-12-15,28879.34,Online Transfer,No,0,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,9,2023-01-18,28879.34,2023-01-24,28879.34,Cheque,No,5000,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,10,2023-02-17,28879.34,2023-02-13,28879.34,Cash,No,0,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,11,2023-03-19,28879.34,2023-03-15,28879.34,Online Transfer,No,0,None
38022-3419547-3,Nadia,Hashmi,0333-8679796,nadia.hashmi2286@gmail.com,"House 793, Phase 1, Islamabad",2022-04-03,Salaried,110457,654,Car,618843,2022-04-18,618843,12.0,24,Bonds,868294.58,2022-04-23,2024-04-12,12,2023-04-18,28879.34,2023-04-13,28879.34,Cheque,No,0,None
36757-2043719-1,Sadia,Qureshi,0315-9673215,sadia.qureshi768@gmail.com,"House 226, Phase 8, Rawalpindi",2021-06-25,Business Owner,253813,713,Car,1708740,2021-07-25,1708740,12.0,24,Gold,2398501.08,2021-07-31,2023-07-21,1,2021-08-30,79741.2,2021-09-01,79741.2,Cheque,No,5000,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,1,2021-03-04,54628.42,2021-03-01,54628.42,Cheque,No,0,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,2,2021-04-03,54628.42,2021-04-02,54628.42,Cheque,No,0,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,3,2021-05-03,54628.42,2021-05-02,54628.42,Online Transfer,No,0,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,4,2021-06-02,54628.42,2021-06-08,54628.42,Cash,No,5000,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,5,2021-07-02,54628.42,2021-06-30,54628.42,Cheque,No,0,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,6,2021-08-01,54628.42,2021-07-31,54628.42,Cash,No,0,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,7,2021-08-31,54628.42,2021-08-30,54628.42,Cash,No,0,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,8,2021-09-30,54628.42,2021-10-03,54628.42,Cash,No,5000,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,9,2021-10-30,54628.42,2021-11-03,54628.42,Cash,No,5000,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,10,2021-11-29,54628.42,2021-12-05,54628.42,Online Transfer,No,5000,None
32585-1294279-7,Sana,Farooq,0325-4554807,sana.farooq1948@gmail.com,"House 405, Phase 8, Islamabad",2021-01-05,Salaried,170880,457,Education,3793640,2021-01-19,3034912.0,8.0,60,Bonds,3637773.6,2021-02-02,2026-01-07,11,2021-12-29,54628.42,2021-12-29,54628.42,Cash,No,0,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,1,2022-09-08,120999.27,2022-09-14,120999.27,Cheque,No,5000,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,2,2022-10-08,120999.27,2022-10-07,120999.27,Online Transfer,No,0,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,3,2022-11-07,120999.27,2022-11-08,120999.27,Cheque,No,5000,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,4,2022-12-07,120999.27,2022-12-11,120999.27,Online Transfer,No,5000,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,5,2023-01-06,120999.27,2023-01-06,120999.27,Cash,No,0,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,6,2023-02-05,120999.27,2023-02-07,120999.27,Online Transfer,No,5000,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,7,2023-03-07,120999.27,2023-03-05,120999.27,Cheque,No,0,None
37796-8503756-6,Hamza,Abbas,0316-8972109,hamza.abbas5696@gmail.com,"House 457, Phase 5, Karachi",2022-07-01,Self-Employed,90378,455,Personal,4734754,2022-07-25,3787803.2,15.0,36,Bonds,4595160.65,2022-08-09,2025-07-24,8,2023-04-06,120999.27,2023-04-06,120999.27,Cheque,No,0,None
